ds,y,y_moving_avg_7,y_moving_avg_14,y_moving_avg_28,y_moving_avg_90
2026-01-31,80226.47925524465,83931.10637314226,86003.7989547537,88409.88554715675,89759.3007142137
2026-01-31,79846.60792726901,85268.13989834976,86663.02679353926,88947.83731701833,89831.99333616953
2026-01-30,83019.60568063788,86461.4788862792,87343.10524702178,89498.20365251845,89914.8587594316
2026-01-30,82813.61818877827,87226.32762304836,87810.15561006524,89954.73559249566,89960.13223280433
2026-01-29,86318.35566961287,87939.80154038582,88303.55982331843,90396.05861586056,90005.92125997468
2026-01-29,85915.47225101774,88136.22698932074,88526.09689195831,90710.62869765572,90013.51220072385
2026-01-28,89377.6056394355,88346.86175903984,88783.5096710887,91075.96607115549,90034.29889608291
2026-01-28,89585.71393169703,88076.49153636512,88764.30786949572,91318.81573103493,90014.41675038148
2026-01-27,88199.98084277524,88057.91368872879,88735.29441294896,91559.12275317012,90012.13437336263
2026-01-27,88373.54683802203,88224.73160776436,88899.7670054002,91847.04128480917,90021.67912261032
2026-01-26,87807.93561014027,88393.98359708209,89039.15864629342,92013.68125677384,90030.1007601903
2026-01-26,87693.33381215735,88667.31810625104,89398.32648158893,92203.48097466062,90076.73943859615
2026-01-25,87389.91563905151,88915.96679459591,89760.32170932226,92335.0839201062,90104.56762329812
2026-01-25,87485.01408071251,89220.15758313758,90288.37049474909,92473.75364710297,90135.84154953899
2026-01-24,89455.66899824253,89452.12420262632,90815.97213955979,92585.38489636403,90178.87959259833
2026-01-24,89367.70627602428,89412.67513716916,91232.64784049742,92632.03565292712,90198.52254780814
2026-01-23,89558.31076324625,89574.80240303607,91653.30205801512,92671.91942175632,90204.63136696343
2026-01-23,89721.27717432285,89684.33369550473,92099.31557492609,92708.22054717489,90216.83576555291
2026-01-22,89433.87463057144,90129.33485692683,92488.5574084027,92746.14559575259,90218.04379694932
2026-01-22,89519.2511588432,90604.67662404863,92895.1605033531,92787.90181893748,90233.6621755017
2026-01-21,89108.78041713366,91356.58340636062,93368.42247122226,92822.54334167192,90266.93477319987
2026-01-21,89179.52554004244,92179.82007649324,93873.32359257415,92868.73329301355,90304.34346885562
2026-01-20,90502.59713709266,93052.62054382566,94382.95109339127,92961.98631915577,90332.3621090396
2026-01-20,90325.02981052684,93731.80171299416,94794.31556421811,93007.57367952635,90344.88476271172
2026-01-19,92836.28530427752,94514.29745434746,94988.20386725428,93107.79613929545,90338.1305275591
2026-01-19,92761.2670004241,94847.77995987861,95008.63546773233,93119.54710536244,90304.01350672288
2026-01-18,94782.59863502713,95185.64438265753,94909.84613089016,93132.78699747773,90267.82928126855
